"ADV-Text1","Erreger","NRL"
"Salmonella Lexington","Salmonella Lexington","NRL-Salm"
"Salmonella Weltevreden","Salmonella Weltevreden","NRL-Salm"
"Salmonella Westhampton","Salmonella Westhampton","NRL-Salm"
"Salmonella Amsterdam","Salmonella Amsterdam","NRL-Salm"
"Salmonella Sinstorf","Salmonella Sinstorf","NRL-Salm"
"Salmonella Meleagridis","Salmonella Meleagridis","NRL-Salm"
"Salmonella Nchanga","Salmonella Nchanga","NRL-Salm"
"Salmonella Senftenberg","Salmonella Senftenberg","NRL-Salm"
"Salmonella Sandiego (S. Sandiego)","Salmonella Sandiego","NRL-Salm"
"Salmonella Hessarek (S. Hessarek)","Salmonella Hessarek","NRL-Salm"
"Salmonella Krefeld","Salmonella Krefeld","NRL-Salm"
"Salmonella Gdansk","Salmonella Gdansk","NRL-Salm"
"Salmonella","Salmonella ","NRL-Salm"
"Salmonella Cerro","Salmonella Cerro","NRL-Salm"
"Salmonella Havana","Salmonella Havana","NRL-Salm"
"Salmonella Potsdam","Salmonella Potsdam","NRL-Salm"
"Salmonella Chailey","Salmonella Chailey","NRL-Salm"
"Salmonella Kiambu","Salmonella Kiambu","NRL-Salm"
"Salmonella Lagos","Salmonella Lagos","NRL-Salm"
"Salmonella enterica enterica","Salmonella enterica","NRL-Salm"
"Salmonella enterica salamae","Salmonella enterica","NRL-Salm"
"Salmonella enterica arizonae","Salmonella enterica","NRL-Salm"
"Salmonella enterica diarizonae","Salmonella enterica","NRL-Salm"
"Salmonella enterica houtenae","Salmonella enterica","NRL-Salm"
"Salmonella enterica indica","Salmonella enterica","NRL-Salm"
"Salmonella Bongori","Salmonella Bongori","NRL-Salm"
"Genus Citrobacter","Citrobacter Citrobacter",
"Citrobacter freundii","Citrobacter freundii",
"Genus Enterobacter","Enterobacter",
"Enterobacter aerogenes","Enterobacter aerogenes",
"Enterobacter cloacae","Enterobacter cloacae",
"Cronobacter spp.","Cronobacter spp.",
"Cronobacter sakazakii","Cronobacter sakazakii",
"Genus Klebsiella","Klebsiella",
"Klebsiella planticola","Klebsiella",
"Klebsiella pneumoniae","Klebsiella",
"Klebsiella oxytoca","Klebsiella",
"Genus Proteus","Proteus",
"Proteus vulgaris","Proteus",
"Genus Yersinia","Yersinia","KL-Yersinia"
"Yersinia enterocolitica","Yersinia","KL-Yersinia"
"Yersinia pseudotuberculosis","Yersinia","KL-Yersinia"
"Yersinia enterocolitica O:3","Yersinia","KL-Yersinia"
"Yersinia enterocolitica O:5,27","Yersinia","KL-Yersinia"
"Yersinia enterocolitica O:8","Yersinia","KL-Yersinia"
"Yersinia enterocolitica O:9","Yersinia","KL-Yersinia"
"Yersinia enterocolitica 1A","Yersinia","KL-Yersinia"
"Genus Vibrio","Vibrio","NRL-Vibrio"
"Vibrio cholerae","Vibrio","NRL-Vibrio"
"Vibrio parahaemolyticus","Vibrio","NRL-Vibrio"
"Vibrio fluvialis","Vibrio","NRL-Vibrio"
"Vibrio mimicus","Vibrio","NRL-Vibrio"
"Vibrio alginolyticus","Vibrio","NRL-Vibrio"
"Vibrio vulnificus","Vibrio","NRL-Vibrio"
"Vibrio cholerae El Tor","Vibrio","NRL-Vibrio"
"Genus Aeromonas","Aeromonas",
"Aeromonas hydrophila","Aeromonas",
"Aeromonas caviae","Aeromonas",
"Aeromonas sobria","Aeromonas",
"Genus Serratia","Serratia",
"Serratia marcescens","Serratia",
"Serratia liquefaciens","Serratia",
"Genus Pasteurella","Pasteurella",
"Salmonella Aba","Salmonella Aba","NRL-Salm"
"Salmonella Abadina","Salmonella Abadina","NRL-Salm"
"Salmonella Abaetetuba","Salmonella Abaetetuba","NRL-Salm"
"Salmonella Aberdeen","Salmonella Aberdeen","NRL-Salm"
"Salmonella Abidjan","Salmonella Abidjan","NRL-Salm"
"Salmonella Ablogame","Salmonella Ablogame","NRL-Salm"
"Salmonella Abobo","Salmonella Abobo","NRL-Salm"
"Salmonella Abony O:5-","Salmonella Abony","NRL-Salm"
"Salmonella Abortusequi","Salmonella Abortusequi","NRL-Salm"
"Salmonella Abortusovis","Salmonella Abortusovis","NRL-Salm"
"Salmonella Abuja","Salmonella Abuja","NRL-Salm"
"Salmonella Accra","Salmonella Accra","NRL-Salm"
"Salmonella Ackwepe","Salmonella Ackwepe","NRL-Salm"
"Salmonella Adabraka","Salmonella Adabraka","NRL-Salm"
"Salmonella Adamstown","Salmonella Adamstown","NRL-Salm"
"Salmonella Adamstua","Salmonella Adamstua","NRL-Salm"
"Salmonella Adana","Salmonella Adana","NRL-Salm"
"Salmonella Adelaide","Salmonella Adelaide","NRL-Salm"
"Salmonella Adeoyo","Salmonella Adeoyo","NRL-Salm"
"Salmonella Adeoyo H:T+","Salmonella Adeoyo","NRL-Salm"
"Salmonella Aderike","Salmonella Aderike","NRL-Salm"
"Salmonella Adime","Salmonella Adime","NRL-Salm"
"Salmonella Adjame","Salmonella Adjame","NRL-Salm"
"Salmonella Aequatoria","Salmonella Aequatoria","NRL-Salm"
"Salmonella Aesch","Salmonella Aesch","NRL-Salm"
"Salmonella Aflao","Salmonella Aflao","NRL-Salm"
"Salmonella Africana","Salmonella Africana","NRL-Salm"
"Salmonella Afula","Salmonella Afula","NRL-Salm"
"Salmonella Agama","Salmonella Agama","NRL-Salm"
"Salmonella Agbara","Salmonella Agbara","NRL-Salm"
"Salmonella Agbeni","Salmonella Agbeni","NRL-Salm"
"Salmonella Agbeni H:S+;H:T-","Salmonella Agbeni","NRL-Salm"
"Salmonella Agege","Salmonella Agege","NRL-Salm"
"Salmonella Ago","Salmonella Ago","NRL-Salm"
"Salmonella Agodi","Salmonella Agodi","NRL-Salm"
"Salmonella Agona O:5+  H:1+,2+","Salmonella Agona","NRL-Salm"
"Salmonella Agoueve","Salmonella Agoueve","NRL-Salm"
"Salmonella Ahanou","Salmonella Ahanou","NRL-Salm"
"Salmonella Ahepe","Salmonella Ahepe","NRL-Salm"
"Salmonella Ahmadi","Salmonella Ahmadi","NRL-Salm"
"Salmonella Ahoutoue","Salmonella Ahoutoue","NRL-Salm"
"Salmonella Ahuza","Salmonella Ahuza","NRL-Salm"
"Salmonella Ajiobo","Salmonella Ajiobo","NRL-Salm"
"Salmonella Akanji","Salmonella Akanji","NRL-Salm"
"Salmonella Akuafo","Salmonella Akuafo","NRL-Salm"
"Salmonella Alabama","Salmonella Alabama","NRL-Salm"
"Salmonella Alachua","Salmonella Alachua","NRL-Salm"
"Salmonella Alagbon","Salmonella Alagbon","NRL-Salm"
"Salmonella Alagbon O:20+","Salmonella Alagbon","NRL-Salm"
"Salmonella Alamo","Salmonella Alamo","NRL-Salm"
"Salmonella Albert","Salmonella Albert","NRL-Salm"
"Salmonella Albuquerque","Salmonella Albuquerque","NRL-Salm"
"Salmonella Alexanderplatz","Salmonella Alexanderplatz","NRL-Salm"
"Salmonella Alexanderpolder","Salmonella Alexanderpolder","NRL-Salm"
"Salmonella Alfort","Salmonella Alfort","NRL-Salm"
"Salmonella Alger","Salmonella Alger","NRL-Salm"
"Salmonella Alkmaar","Salmonella Alkmaar","NRL-Salm"
"Salmonella Allandale","Salmonella Allandale","NRL-Salm"
"Salmonella Allerton","Salmonella Allerton","NRL-Salm"
"Salmonella Alma","Salmonella Alma","NRL-Salm"
"Salmonella Alminko","Salmonella Alminko","NRL-Salm"
"Salmonella Alpenquai","Salmonella Alpenquai","NRL-Salm"
"Salmonella Altendorf","Salmonella Altendorf","NRL-Salm"
"Salmonella Amager","Salmonella Amager","NRL-Salm"
"Salmonella Amager O:10-,15+","Salmonella Amager","NRL-Salm"
"Salmonella Amba","Salmonella Amba","NRL-Salm"
"Salmonella Amersfoort","Salmonella Amersfoort","NRL-Salm"
"Salmonella Amersfoort O:14+","Salmonella Amersfoort","NRL-Salm"
"Salmonella Amherstiana","Salmonella Amherstiana","NRL-Salm"
"Salmonella Amina","Salmonella Amina","NRL-Salm"
"Salmonella Aminatu","Salmonella Aminatu","NRL-Salm"
"Salmonella Amounderness","Salmonella Amounderness","NRL-Salm"
"Salmonella Amoutive","Salmonella Amoutive","NRL-Salm"
"Salmonella Amsterdam O:10-,15+","Salmonella Amsterdam","NRL-Salm"
"Salmonella Amsterdam O:15+","Salmonella Amsterdam","NRL-Salm"
"Salmonella Amunigun","Salmonella Amunigun","NRL-Salm"
"Salmonella Anatum O:10-,15+","Salmonella Anatum","NRL-Salm"
"Salmonella Anatum O:10-,15+,34+","Salmonella Anatum","NRL-Salm"
"Salmonella Anderlecht","Salmonella Anderlecht","NRL-Salm"
"Salmonella Anecho","Salmonella Anecho","NRL-Salm"
"Salmonella Anfo","Salmonella Anfo","NRL-Salm"
"Salmonella Angers","Salmonella Angers","NRL-Salm"
"Salmonella Angoda","Salmonella Angoda","NRL-Salm"
"Salmonella Angouleme","Salmonella Angouleme","NRL-Salm"
"Salmonella Anie","Salmonella Anie","NRL-Salm"
"Salmonella Ank","Salmonella Ank","NRL-Salm"
"Salmonella Anna","Salmonella Anna","NRL-Salm"
"Salmonella Annedal","Salmonella Annedal","NRL-Salm"
"Salmonella Antarctica","Salmonella Antarctica","NRL-Salm"
"Salmonella Antonio","Salmonella Antonio","NRL-Salm"
"Salmonella Antsalova","Salmonella Antsalova","NRL-Salm"
"Salmonella Antwerpen","Salmonella Antwerpen","NRL-Salm"
"Salmonella Apapa","Salmonella Apapa","NRL-Salm"
"Salmonella Apeyeme","Salmonella Apeyeme","NRL-Salm"
"Salmonella Aprad","Salmonella Aprad","NRL-Salm"
"Salmonella Aqua","Salmonella Aqua","NRL-Salm"
"Salmonella Aragua","Salmonella Aragua","NRL-Salm"
"Salmonella Arapahoe","Salmonella Arapahoe","NRL-Salm"
"Salmonella Arechavaleta","Salmonella Arechavaleta","NRL-Salm"
"Salmonella Argenteuil","Salmonella Argenteuil","NRL-Salm"
"Salmonella Arusha","Salmonella Arusha","NRL-Salm"
"Salmonella Aschersleben","Salmonella Aschersleben","NRL-Salm"
"Salmonella Ashanti","Salmonella Ashanti","NRL-Salm"
"Salmonella Assen","Salmonella Assen","NRL-Salm"
"Salmonella Assinie","Salmonella Assinie","NRL-Salm"
"Salmonella Astridplein","Salmonella Astridplein","NRL-Salm"
"Salmonella Asylanta","Salmonella Asylanta","NRL-Salm"
"Salmonella Atakpame","Salmonella Atakpame","NRL-Salm"
"Salmonella Atento","Salmonella Atento","NRL-Salm"
"Salmonella Athinai","Salmonella Athinai","NRL-Salm"
"Salmonella Ati","Salmonella Ati","NRL-Salm"
"Salmonella Augustenborg","Salmonella Augustenborg","NRL-Salm"
"Salmonella Augustenborg O:14+","Salmonella Augustenborg","NRL-Salm"
"Salmonella Austin","Salmonella Austin","NRL-Salm"
"Salmonella Australia","Salmonella Australia","NRL-Salm"
"Salmonella Avignon","Salmonella Avignon","NRL-Salm"
"Salmonella Avonmouth","Salmonella Avonmouth","NRL-Salm"
"Salmonella Ayinde","Salmonella Ayinde","NRL-Salm"
"Salmonella Ayton","Salmonella Ayton","NRL-Salm"
"Salmonella Azteca","Salmonella Azteca","NRL-Salm"
"Salmonella Azteca O:5-,27+","Salmonella Azteca","NRL-Salm"
"Salmonella Babelsberg","Salmonella Babelsberg","NRL-Salm"
"Salmonella Babili","Salmonella Babili","NRL-Salm"
"Salmonella Badagry","Salmonella Badagry","NRL-Salm"
"Salmonella Baguida","Salmonella Baguida","NRL-Salm"
"Salmonella Baguirmi","Salmonella Baguirmi","NRL-Salm"
"Salmonella Bahati","Salmonella Bahati","NRL-Salm"
"Salmonella Bahrenfeld","Salmonella Bahrenfeld","NRL-Salm"
"Salmonella Baiboukoum","Salmonella Baiboukoum","NRL-Salm"
"Salmonella Baildon","Salmonella Baildon","NRL-Salm"
"Salmonella Bakau","Salmonella Bakau","NRL-Salm"
"Salmonella Balcones","Salmonella Balcones","NRL-Salm"
"Salmonella Ball","Salmonella Ball","NRL-Salm"
"Salmonella Ball O:5+","Salmonella Ball","NRL-Salm"
"Salmonella Bama","Salmonella Bama","NRL-Salm"
"Salmonella Bamboye","Salmonella Bamboye","NRL-Salm"
"Salmonella Bambylor","Salmonella Bambylor","NRL-Salm"
"Salmonella Banalia","Salmonella Banalia","NRL-Salm"
"Salmonella Banana","Salmonella Banana","NRL-Salm"
"Salmonella Banana O:1+","Salmonella Banana","NRL-Salm"
"Salmonella Banco","Salmonella Banco","NRL-Salm"
"Salmonella Bandia","Salmonella Bandia","NRL-Salm"
"Salmonella Bangkok","Salmonella Bangkok","NRL-Salm"
"Salmonella Bangui","Salmonella Bangui","NRL-Salm"
"Salmonella Banjul","Salmonella Banjul","NRL-Salm"
"Salmonella Bareilly O:14+","Salmonella Bareilly","NRL-Salm"
"Salmonella Bargny","Salmonella Bargny","NRL-Salm"
"Salmonella Barmbek","Salmonella Barmbek","NRL-Salm"
"Salmonella Barranquilla","Salmonella Barranquilla","NRL-Salm"
"Salmonella Barry","Salmonella Barry","NRL-Salm"
"Salmonella Basingstoke","Salmonella Basingstoke","NRL-Salm"
"Salmonella Bassa","Salmonella Bassa","NRL-Salm"
"Salmonella Bassadji","Salmonella Bassadji","NRL-Salm"
"Salmonella Batonrouge","Salmonella Batonrouge","NRL-Salm"
"Salmonella Battle","Salmonella Battle","NRL-Salm"
"Salmonella Bazenheid","Salmonella Bazenheid","NRL-Salm"
"Salmonella Be","Salmonella Be","NRL-Salm"
"Salmonella Beaudesert","Salmonella Beaudesert","NRL-Salm"
"Salmonella Bedford","Salmonella Bedford","NRL-Salm"
"Salmonella Belem","Salmonella Belem","NRL-Salm"
"Salmonella Belfast","Salmonella Belfast","NRL-Salm"
"Salmonella Bellevue","Salmonella Bellevue","NRL-Salm"
"Salmonella Benfica","Salmonella Benfica","NRL-Salm"
"Salmonella Benguella","Salmonella Benguella","NRL-Salm"
"Salmonella Benin","Salmonella Benin","NRL-Salm"
"Salmonella Benue","Salmonella Benue","NRL-Salm"
"Salmonella Bere","Salmonella Bere","NRL-Salm"
"Salmonella Bergedorf","Salmonella Bergedorf","NRL-Salm"
"Salmonella Bergen","Salmonella Bergen","NRL-Salm"
"Salmonella Bergues","Salmonella Bergues","NRL-Salm"
"Salmonella Berkeley","Salmonella Berkeley","NRL-Salm"
"Salmonella Berlin","Salmonella Berlin","NRL-Salm"
"Salmonella Berta","Salmonella Berta","NRL-Salm"
"Salmonella Berta H:F-","Salmonella Berta","NRL-Salm"
"Salmonella Bessi","Salmonella Bessi","NRL-Salm"
"Salmonella Bethune","Salmonella Bethune","NRL-Salm"
"Salmonella Biafra","Salmonella Biafra","NRL-Salm"
"Salmonella Bida","Salmonella Bida","NRL-Salm"
"Salmonella Bietri","Salmonella Bietri","NRL-Salm"
"Salmonella Bignona","Salmonella Bignona","NRL-Salm"
"Salmonella Bijlmer","Salmonella Bijlmer","NRL-Salm"
"Salmonella Bilu","Salmonella Bilu","NRL-Salm"
"Salmonella Binche","Salmonella Binche","NRL-Salm"
"Salmonella Bingerville","Salmonella Bingerville","NRL-Salm"
"Salmonella Binningen","Salmonella Binningen","NRL-Salm"
"Salmonella Birkenhead","Salmonella Birkenhead","NRL-Salm"
"Salmonella Birmingham","Salmonella Birmingham","NRL-Salm"
"Salmonella Birmingham O:10-,15+","Salmonella Birmingham","NRL-Salm"
"Salmonella Bissau","Salmonella Bissau","NRL-Salm"
"Salmonella Blegdam","Salmonella Blegdam","NRL-Salm"
"Salmonella Blijdorp","Salmonella Blijdorp","NRL-Salm"
"Salmonella Blitta","Salmonella Blitta","NRL-Salm"
"Salmonella Bloomsbury","Salmonella Bloomsbury","NRL-Salm"
"Salmonella Blukwa","Salmonella Blukwa","NRL-Salm"
"Salmonella Bobo","Salmonella Bobo","NRL-Salm"
"Salmonella Bochum","Salmonella Bochum","NRL-Salm"
"Salmonella Bodjonegoro","Salmonella Bodjonegoro","NRL-Salm"
"Salmonella Boecker","Salmonella Boecker","NRL-Salm"
"Salmonella Bofflens","Salmonella Bofflens","NRL-Salm"
"Salmonella Bokanjac","Salmonella Bokanjac","NRL-Salm"
"Salmonella Bolama","Salmonella Bolama","NRL-Salm"
"Salmonella Bolombo","Salmonella Bolombo","NRL-Salm"
"Salmonella Bolton","Salmonella Bolton","NRL-Salm"
"Salmonella Bonames","Salmonella Bonames","NRL-Salm"
"Salmonella Bonariensis","Salmonella Bonariensis","NRL-Salm"
"Salmonella Bonn","Salmonella Bonn","NRL-Salm"
"Salmonella Bootle","Salmonella Bootle","NRL-Salm"
"Salmonella Borbeck","Salmonella Borbeck","NRL-Salm"
"Salmonella Bordeaux","Salmonella Bordeaux","NRL-Salm"
"Salmonella Borreze","Salmonella Borreze","NRL-Salm"
"Salmonella Borromea","Salmonella Borromea","NRL-Salm"
"Salmonella Bouake","Salmonella Bouake","NRL-Salm"
"Salmonella Bournemouth","Salmonella Bournemouth","NRL-Salm"
"Salmonella Bousso","Salmonella Bousso","NRL-Salm"
"Salmonella Bovismorbificans O:20+","Salmonella Bovismorbificans","NRL-Salm"
"Salmonella Bracknell","Salmonella Bracknell","NRL-Salm"
"Salmonella Bradford","Salmonella Bradford","NRL-Salm"
"Salmonella Braenderup O:14+","Salmonella Braenderup","NRL-Salm"
"Salmonella Brancaster","Salmonella Brancaster","NRL-Salm"
"Salmonella Brandenburg H:E-,N-,Z15-","Salmonella Brandenburg","NRL-Salm"
"Salmonella Brandenburg O:5+","Salmonella Brandenburg","NRL-Salm"
"Salmonella Brazil","Salmonella Brazil","NRL-Salm"
"Salmonella Brazos","Salmonella Brazos","NRL-Salm"
"Salmonella Brazzaville","Salmonella Brazzaville","NRL-Salm"
"Salmonella Breda","Salmonella Breda","NRL-Salm"
"Salmonella Brefet","Salmonella Brefet","NRL-Salm"
"Salmonella Breukelen","Salmonella Breukelen","NRL-Salm"
"Salmonella Brevik","Salmonella Brevik","NRL-Salm"
"Salmonella Brevik H:X+","Salmonella Brevik","NRL-Salm"
"Salmonella Brezany","Salmonella Brezany","NRL-Salm"
"Salmonella Brijbhumi","Salmonella Brijbhumi","NRL-Salm"
"Salmonella Brikama","Salmonella Brikama","NRL-Salm"
"Salmonella Brikama H:I-","Salmonella Brikama","NRL-Salm"
"Salmonella Brisbane","Salmonella Brisbane","NRL-Salm"
"Salmonella Bristol","Salmonella Bristol","NRL-Salm"
"Salmonella Brive","Salmonella Brive","NRL-Salm"
"Salmonella Broc","Salmonella Broc","NRL-Salm"
"Salmonella Bron","Salmonella Bron","NRL-Salm"
"Salmonella Bronx","Salmonella Bronx","NRL-Salm"
"Salmonella Brooklyn","Salmonella Brooklyn","NRL-Salm"
"Salmonella Broughton","Salmonella Broughton","NRL-Salm"
"Salmonella Bruck","Salmonella Bruck","NRL-Salm"
"Salmonella Brunei","Salmonella Brunei","NRL-Salm"
"Salmonella Brunflo","Salmonella Brunflo","NRL-Salm"
"Salmonella Bsilla","Salmonella Bsilla","NRL-Salm"
"Salmonella Buckeye","Salmonella Buckeye","NRL-Salm"
"Salmonella Budapest","Salmonella Budapest","NRL-Salm"
"Salmonella Bukavu","Salmonella Bukavu","NRL-Salm"
"Salmonella Bukuru","Salmonella Bukuru","NRL-Salm"
"Salmonella Bulgaria","Salmonella Bulgaria","NRL-Salm"
"Salmonella Bullbay","Salmonella Bullbay","NRL-Salm"
"Salmonella Bulovka","Salmonella Bulovka","NRL-Salm"
"Salmonella Burgas","Salmonella Burgas","NRL-Salm"
"Salmonella Burundi","Salmonella Burundi","NRL-Salm"
"Salmonella Bury","Salmonella Bury","NRL-Salm"
"Salmonella Businga","Salmonella Businga","NRL-Salm"
"Salmonella Butantan","Salmonella Butantan","NRL-Salm"
"Salmonella Butantan O:10-,15+","Salmonella Butantan","NRL-Salm"
"Salmonella Butantan O:10-,15+,34+","Salmonella Butantan","NRL-Salm"
"Salmonella Butare","Salmonella Butare","NRL-Salm"
"Salmonella Buzu","Salmonella Buzu","NRL-Salm"
"Salmonella Caen","Salmonella Caen","NRL-Salm"
"Salmonella Cairina","Salmonella Cairina","NRL-Salm"
"Salmonella Cairns","Salmonella Cairns","NRL-Salm"
"Salmonella Calabar","Salmonella Calabar","NRL-Salm"
"Salmonella California","Salmonella California","NRL-Salm"
"Salmonella California H:Z67+","Salmonella California","NRL-Salm"
"Salmonella Camberene","Salmonella Camberene","NRL-Salm"
"Salmonella Camberwell","Salmonella Camberwell","NRL-Salm"
"Salmonella Campinense","Salmonella Campinense","NRL-Salm"
"Salmonella Canada","Salmonella Canada","NRL-Salm"
"Salmonella Canary","Salmonella Canary","NRL-Salm"
"Salmonella Cannobio","Salmonella Cannobio","NRL-Salm"
"Salmonella Cannonhill","Salmonella Cannonhill","NRL-Salm"
"Salmonella Cannstatt","Salmonella Cannstatt","NRL-Salm"
"Salmonella Canton","Salmonella Canton","NRL-Salm"
"Salmonella Caracas","Salmonella Caracas","NRL-Salm"
"Salmonella Caracas O:1-,25-","Salmonella Caracas","NRL-Salm"
"Salmonella Cardoner","Salmonella Cardoner","NRL-Salm"
"Salmonella Carmel","Salmonella Carmel","NRL-Salm"
"Salmonella Carnac","Salmonella Carnac","NRL-Salm"
"Salmonella Carno","Salmonella Carno","NRL-Salm"
"Salmonella Carrau","Salmonella Carrau","NRL-Salm"
"Salmonella Carswell","Salmonella Carswell","NRL-Salm"
"Salmonella Casablanca","Salmonella Casablanca","NRL-Salm"
"Salmonella Casamance","Salmonella Casamance","NRL-Salm"
"Salmonella Catalunia","Salmonella Catalunia","NRL-Salm"
