"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV4_Int"
"﻿004","000","10",,,,"Planprobe","Allgemeine Lebensmittelüberwachung gemäß §§ 42, 43 Lebensmittel- und Futter-","mittelgesetzbuch (LFGB)","Artikel 44 Absatz 1 VO (EG) Nr. 882/2004 und § 22 AVV RÜb",,,"20101126","10"
"004","000","11",,,,"Monitoring-Planprobe","Lebensmittel-Monitoring gemäß §§ 50-52 LFGB",,"§§ 50-52 LFGB",,,"20061117","11"
"004","000","12",,,,"NRKP-Planprobe","Nationaler Rückstandskontrollplan gemäß RL 96/23/EG Art. 5",,"RL 96/23/EG Art. 4 (2) und Art. 8(3)",,,"20060602","12"
"004","000","13",,,,"EG-Planprobe","Nationales Mehrjahresprogramm gemäß Artikel 30 der VO (EG) Nr. 396/2005",,"VO (EG) Nr. 396/2005",,,"20100531","13"
"004","000","14",,,,"EU(KKP)-Planprobe; bis 30.06.2010: EG(KÜP)-Planprobe","EU-Koordinierter Kontrollplan gemäß VO (EG) Nr. 882/2004",,"VO (EG) Nr. 882/2004",,,"20160101","14"
"004","000","15",,,,"NRKP- und Monitoring- Planprobe","Nationaler Rückstandskontrollplan gemäß RL 96/23/EG Art. 5 und","Lebensmittel-Monitoring gemäß §§ 50-52 LFGB","RL 96/23/EG Art. 4 (2) und Art. 8 (3) und §§ 50-52 LFGB",,,"20061117","15"
"004","000","16",,,,"EG(KKP)- und Monitoring-Planprobe","Mehrjähriges koordiniertes Kontrollprogramm der Gemeinschaft (KKP) gemäß","Art. 29 der VO (EG) Nr. 396/2005 und Lebensmittel-Monitoring gemäß §§ 50-52 LFGB","VO (EG) Nr. 396/2005 und §§ 50-52 LFGB",,,"20100531","16"
"004","000","17",,,,"Hemmstofftest-Planprobe","NRKP - § 10 Abs. 1 Nr. 1 Tierische Lebensmittel-Überwachungsverordnung","i.V.m. Anh. I, Abschnitt I, Kapitel II, Teil F Nr. 1 Buchstabe c","VO (EG) Nr. 854/2004","RL 96/23/EG Art. 4 (2) und Art. 8 (3)",,"20101126","17"
"004","000","20",,,,"Verdachtsprobe","Allgemeine Lebensmittelüberwachung gemäß §§ 42, 43 LFGB; wegen Verdachts auf","Verstoß entnommen","VO (EG) Nr. 882/2004 Artikel 44 Absatz 1 und § 22 AVV Rüb",,,"20101126","20"
"004","000","22",,,,"NRKP-Verdachtsprobe","Wegen positiven Befundes bei NRKP-Planprobe gemäß RL 96/23/EG Art. 5 oder","gemäß Art. 11, Art. 24 entnommen","RL 96/23/EG Art. 4 (2) und Art. 8 (3)",,,"20060602","22"
"004","000","27",,,,"Hemmstofftest-Verdachtsprobe","Hemmstofftest nach § 10 Abs. 1 Nr. 1 Tierische Lebensmittel-","Überwachungsverordnung i.V.m. der VO (EG) Nr. 854/2004 Anhang I,","Abschnitt I, Kapitel II, Teil F Nr. 1 Buchstabe c","RL 96/23/EG Art. 4 (2) und Art. 8 (3)",,"20101126","27"
"004","000","30",,,,"Beschwerdeprobe","Aufgrund eines Verdachts auf Mängel mit Bezug auf lebensmittelrechtliche","Bestimmungen eingesandt","VO (EG) Nr. 882/2004 und AVV RÜb",,,"20101126","30"
"004","000","40",,,,"Verfolgsprobe (Nachprobe/Vergleichsprobe)","Vergleich zu Beschwerdeproben oder zur Ergänzung der Erkenntnisse aus der","Untersuchung von Plan- oder Verdachtsproben gemäß §§ 42, 43 LFGB,","VO (EG) Nr. 882/2004 Artikel 44 Absatz 1 und § 22 AVV RÜb",,,"20101126","40"
"004","000","50",,,,"Importprobe","Anlässlich der Einfuhr von Erzeugnissen in die Gemeinschaft aus einem Drittland","§§ 42, 43 LFGB bzw. § 36 Wein-ÜberwachungsV entnommen","VO (EG) Nr. 882/2004 und AVV RÜb",,,"20101126","50"
"004","000","52",,,,"NRKP-Importprobe","Anlässlich der Einfuhr von Erzeugnissen in die Gemeinschaft aus einem Drittland","LMEV Anlage 4, Kapitel I, Nr. 7","RL 96/23/EG Art. 29 (4)",,,"20101126","52"
"004","000","67",,,,"BU-Probe","Bakteriologische Fleischuntersuchung VO (EG) Nr. 854/2004 Anhang I,","Abschnitt I, Kapitel II, Teil F Nr. 1 Buchstabe d","RL 96/23/EG Art. 4 (2) und Art. 8 (3)",,,"20101126","67"
"004","000","70",,,,"Dioxin-DB: Referenzprobe - Amtliche Lebensmittelüberwachung","Allgemeine Lebensmittelüberwachung gemäß §§ 42, 43 LFGB",,"VO (EG) Nr. 882/2004",,,"20100531","70"
"004","000","71",,,,"Dioxin-DB: Referenzprobe - Referenzmessprogramm","Beschluss der 37. Umweltministerkonferenz vom 21. und 22.11.1991",,,,,"20021204","71"
"004","000","72",,,,"Dioxin-DB: Referenzprobe - Forschungsprojekt/ Messprogramm/ Monitoring","Beschluss der 37. Umweltministerkonferenz vom 21. und 22.11.1991",,,,,"20021204","72"
"004","000","73",,,,"Monitoring-Projektprobe","Lebensmittel-Monitoring gemäß §§ 50-52 LFGB",,,,,"20061117","73"
"004","000","75",,,,"Importverdachtsprobe (auch nach RL 96/23/EG)","Anlässlich der Einfuhr von Erzeugnissen in die Gemeinschaft aus einem Drittland","aus Verdachtsgründen gemäß LMEV Anlage 4, Kapitel I, Nr. 7","RL 96/23/EG Art. 29 (4)",,,"20101126","75"
"004","000","76",,,,"Bundesweiter Überwachungsplan (BÜP) - Planprobe",,,"§ 11 AVV RÜb",,,"20101126","76"
"004","000","77",,,,"EG(KKP)- und BÜP-Planprobe","EG-Koordiniertes Kontrollprogramm (KKP) und","Bundesweiter Überwachungsplan (BÜP)","VO (EG) Nr. 882/2004 und AVV RÜb",,,"20100531","77"
"004","000","78",,,,"NRKP und EU-Dioxin/PCB-Monitoring - Planprobe","NRKP gemäß Richtlinie 96/23/EG Art. 5 und Empfehlung 2006/794/EG",,"RL 96/23/EG Art. 4 (2) und 8 (3)",,,"20101126","78"
"004","000","79",,,,"Monitoring-, EG(KKP)- und BÜP - Planprobe","Monitoring §51 LFGB, EG-Koordiniertes Kontrollprogramm (KKP) und","Bundesweiter Überwachungsplan (BÜP) gemäß § 11 AVV Rüb","VO (EG) Nr. 882/2004 Art. 44 und AVV RÜb",,,"20101126","79"
"004","000","81",,,,"Zoonosen-Monitoring - Planprobe","AVV Zoonosen Lebensmittelkette",,"AVV Zoonosen Lebensmittelkette",,,"20101126","81"
"004","000","82",,,,"Zoonosen-Monitoring - EU Grundlagenstudien",,,"Verordnung  Zoonosenbekämpfung VO(EG) Nr. 2160/2003",,,"20071127","82"
"004","000","85",,,,"Zoonosen-Monitoring - Bekämpfungsprogramme",,,"Verordnung  Zoonosenbekämpfung VO(EG) Nr. 2160/2003",,,"20071127","85"
"004","000","86",,,,"Muschel-Monitoring - Fanggewässerüberwachung","VO (EG) Nr. 854/2004 Anhang II, Kapitel II, Teil A Nr. 3",,"VO (EG) Nr. 854/2004",,,"20101126","86"
"004","000","87",,,,"Nuklearer Ereignisfall",,,,,,"20091203","87"
"004","000","88",,,,"Forschungsvorhaben","Keine Angabe",,"Keine Angabe",,,"20101126","88"
